x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.003
700,0.004
800,0.008
900,0.009
1000,0.01
1100,0.017
1200,0.025
1300,0.039
1400,0.053
1500,0.073
1600,0.088
1700,0.123
1800,0.154
1900,0.182
2000,0.211
2100,0.242
2200,0.278
2300,0.311
2400,0.347
2500,0.383
2600,0.408
2700,0.433
2800,0.473
2900,0.508
3000,0.535
3100,0.569
3200,0.597
3300,0.624
3400,0.648
3500,0.676
3600,0.704
3700,0.724
3800,0.75
3900,0.776
4000,0.793
4100,0.813
4200,0.831
4300,0.847
4400,0.855
4500,0.869
4600,0.886
4700,0.902
4800,0.915
4900,0.923
5000,0.934
5100,0.941
5200,0.944
5300,0.948
5400,0.952
5500,0.955
5600,0.959
5700,0.964
5800,0.969
5900,0.972
6000,0.976
6100,0.977
6200,0.978
6300,0.98
6400,0.981
6500,0.983
6600,0.984
6700,0.986
6800,0.988
6900,0.988
7000,0.99
7100,0.99
7200,0.99
7300,0.99
7400,0.993
7500,0.994
7600,0.995
7700,0.995
7800,0.996
7900,0.997
8000,0.998
