x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.0
1800,0.0
1900,0.0
2000,0.001
2100,0.001
2200,0.001
2300,0.003
2400,0.004
2500,0.005
2600,0.007
2700,0.01
2800,0.011
2900,0.014
3000,0.017
3100,0.022
3200,0.025
3300,0.031
3400,0.044
3500,0.056
3600,0.062
3700,0.073
3800,0.08
3900,0.09
4000,0.111
4100,0.12
4200,0.133
4300,0.149
4400,0.169
4500,0.184
4600,0.206
4700,0.225
4800,0.252
4900,0.276
5000,0.306
5100,0.335
5200,0.352
5300,0.366
5400,0.391
5500,0.411
5600,0.438
5700,0.457
5800,0.478
5900,0.499
6000,0.521
6100,0.536
6200,0.559
6300,0.58
6400,0.602
6500,0.62
6600,0.638
6700,0.653
6800,0.672
6900,0.691
7000,0.702
7100,0.712
7200,0.73
7300,0.752
7400,0.769
7500,0.789
7600,0.799
7700,0.808
7800,0.822
7900,0.83
8000,0.843
8100,0.859
8200,0.872
8300,0.882
8400,0.9
8500,0.908
8600,0.915
8700,0.925
8800,0.929
8900,0.94
9000,0.944
9100,0.948
9200,0.952
9300,0.958
9400,0.964
9500,0.965
9600,0.97
9700,0.972
9800,0.975
9900,0.977
10000,0.981
10100,0.983
10200,0.983
10300,0.983
10400,0.983
10500,0.984
10600,0.987
10700,0.987
10800,0.99
10900,0.991
11000,0.992
11100,0.992
11200,0.993
11300,0.993
11400,0.994
11500,0.994
11600,0.994
11700,0.995
11800,0.996
11900,0.996
12000,0.996
12100,0.996
12200,0.996
12300,0.996
12400,0.996
12500,0.997
12600,0.998
12700,0.998
12800,0.998
12900,0.998
13000,0.998
13100,0.998
13200,0.998
13300,0.998
13400,0.998
13500,0.998
13600,0.998
13700,0.998
13800,0.998
13900,0.999
14000,0.999
14100,0.999
14200,0.999
14300,0.999
14400,0.999
14500,0.999
14600,0.999
14700,0.999
14800,0.999
14900,0.999
15000,0.999
