x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.001
700,0.005
800,0.01
900,0.014
1000,0.018
1100,0.021
1200,0.032
1300,0.039
1400,0.051
1500,0.066
1600,0.086
1700,0.107
1800,0.129
1900,0.159
2000,0.192
2100,0.216
2200,0.255
2300,0.285
2400,0.324
2500,0.354
2600,0.385
2700,0.409
2800,0.446
2900,0.475
3000,0.506
3100,0.534
3200,0.561
3300,0.586
3400,0.612
3500,0.654
3600,0.676
3700,0.703
3800,0.732
3900,0.752
4000,0.763
4100,0.782
4200,0.803
4300,0.828
4400,0.84
4500,0.849
4600,0.87
4700,0.881
4800,0.887
4900,0.895
5000,0.909
5100,0.915
5200,0.923
5300,0.931
5400,0.935
5500,0.94
5600,0.947
5700,0.957
5800,0.964
5900,0.966
6000,0.972
6100,0.973
6200,0.979
6300,0.983
6400,0.984
6500,0.985
6600,0.985
6700,0.985
6800,0.986
6900,0.988
7000,0.994
7100,0.997
7200,0.997
7300,0.999
7400,0.999
7500,0.999
7600,1.0
7700,1.0
7800,1.0
7900,1.0
8000,1.0
