x,y
0,0.0
10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,0.0
70,0.0
80,0.0
90,0.0
100,0.0
110,0.0
120,0.0
130,0.0
140,0.0
150,0.0
160,0.0
170,0.0
180,0.0
190,0.0
200,0.0
210,0.0
220,0.0
230,0.0
240,2e-05
250,2e-05
260,2e-05
270,2e-05
280,2e-05
290,2e-05
300,2e-05
310,2e-05
320,4e-05
330,4e-05
340,6e-05
350,8e-05
360,0.0001
370,0.0001
380,0.0001
390,0.0001
400,0.00012
410,0.00016
420,0.00016
430,0.0002
440,0.00022
450,0.00022
460,0.00022
470,0.00022
480,0.00026
490,0.00028
500,0.00034
510,0.0004
520,0.00042
530,0.00046
540,0.00048
550,0.0005
560,0.0005
570,0.00056
580,0.00064
590,0.00074
600,0.00076
610,0.00086
620,0.00098
630,0.00116
640,0.00128
650,0.0014
660,0.00164
670,0.0018
680,0.00194
690,0.00204
700,0.00226
710,0.0023
720,0.00246
730,0.00256
740,0.00266
750,0.00286
760,0.0031
770,0.00328
780,0.00346
790,0.0036
800,0.00372
810,0.0039
820,0.00416
830,0.0045
840,0.00478
850,0.00506
860,0.00538
870,0.00558
880,0.00588
890,0.00612
900,0.00634
910,0.0067
920,0.0072
930,0.0075
940,0.0078
950,0.00814
960,0.00854
970,0.009
980,0.00946
990,0.01
1000,0.01048
1010,0.01088
1020,0.01142
1030,0.01178
1040,0.01228
1050,0.01274
1060,0.01324
1070,0.01386
1080,0.01428
1090,0.01484
1100,0.01546
1110,0.01612
1120,0.01668
1130,0.01736
1140,0.01792
1150,0.01866
1160,0.0196
1170,0.02026
1180,0.02102
1190,0.02184
1200,0.02262
1210,0.0233
1220,0.02422
1230,0.02504
1240,0.0258
1250,0.0269
1260,0.02764
1270,0.02856
1280,0.02948
1290,0.0305
1300,0.03166
1310,0.03262
1320,0.03388
1330,0.03486
1340,0.03562
1350,0.03632
1360,0.03742
1370,0.03848
1380,0.03948
1390,0.04078
1400,0.042
1410,0.04306
1420,0.04436
1430,0.0456
1440,0.0469
1450,0.04824
1460,0.04948
1470,0.05072
1480,0.05212
1490,0.05344
1500,0.05492
1510,0.0563
1520,0.05792
1530,0.0593
1540,0.06074
1550,0.06236
1560,0.06388
1570,0.06548
1580,0.06674
1590,0.0683
1600,0.06992
1610,0.0716
1620,0.07346
1630,0.07524
1640,0.07692
1650,0.07824
1660,0.07988
1670,0.08146
1680,0.08346
1690,0.08516
1700,0.08686
1710,0.08884
1720,0.09062
1730,0.0927
1740,0.09468
1750,0.0966
1760,0.09884
1770,0.10106
1780,0.10292
1790,0.10468
1800,0.10674
1810,0.10878
1820,0.11098
1830,0.1129
1840,0.1147
1850,0.11676
1860,0.11918
1870,0.12166
1880,0.1244
1890,0.12642
1900,0.12854
1910,0.1308
1920,0.13272
1930,0.13468
1940,0.13736
1950,0.13972
1960,0.14252
1970,0.14484
1980,0.14724
1990,0.14974
2000,0.15232
2010,0.1551
2020,0.15724
2030,0.15964
2040,0.16216
2050,0.16508
2060,0.1676
2070,0.1706
2080,0.17326
2090,0.17568
2100,0.17784
2110,0.18022
2120,0.18278
2130,0.18542
2140,0.18774
2150,0.1904
2160,0.19328
2170,0.19628
2180,0.19902
2190,0.20176
2200,0.20458
2210,0.207
2220,0.20954
2230,0.21234
2240,0.21492
2250,0.21796
2260,0.22056
2270,0.22378
2280,0.22646
2290,0.22928
2300,0.23234
2310,0.23526
2320,0.23818
2330,0.24144
2340,0.24448
2350,0.24772
2360,0.25076
2370,0.25418
2380,0.25714
2390,0.25966
2400,0.26274
2410,0.26572
2420,0.2684
2430,0.27134
2440,0.27446
2450,0.27744
2460,0.28058
2470,0.2833
2480,0.28646
2490,0.28926
2500,0.2923
2510,0.2956
2520,0.29872
2530,0.3019
2540,0.3049
2550,0.30822
2560,0.3116
2570,0.31426
2580,0.3175
2590,0.3205
2600,0.32366
2610,0.32658
2620,0.32944
2630,0.33248
2640,0.3358
2650,0.33866
2660,0.34184
2670,0.34506
2680,0.34806
2690,0.35128
2700,0.35438
2710,0.35714
2720,0.36058
2730,0.364
2740,0.36704
2750,0.37002
2760,0.37368
2770,0.37668
2780,0.37974
2790,0.38312
2800,0.38584
2810,0.38884
2820,0.39224
2830,0.39572
2840,0.39886
2850,0.40216
2860,0.40554
2870,0.40876
2880,0.4118
2890,0.41484
2900,0.4181
2910,0.42188
2920,0.42448
2930,0.42752
2940,0.43036
2950,0.4327
2960,0.43592
2970,0.43902
2980,0.44234
2990,0.44564
3000,0.44878
3010,0.45154
3020,0.45436
3030,0.45766
3040,0.46044
3050,0.46328
3060,0.4665
3070,0.46902
3080,0.4723
3090,0.4755
3100,0.47844
3110,0.4812
3120,0.48446
3130,0.48752
3140,0.49034
3150,0.49332
3160,0.49634
3170,0.49908
3180,0.50212
3190,0.50524
3200,0.5084
3210,0.51116
3220,0.51422
3230,0.5177
3240,0.52092
3250,0.52368
3260,0.52648
3270,0.52942
3280,0.53232
3290,0.53508
3300,0.53756
3310,0.54038
3320,0.5433
3330,0.54616
3340,0.54908
3350,0.5523
3360,0.55524
3370,0.55818
3380,0.56116
3390,0.56418
3400,0.5673
3410,0.57
3420,0.57326
3430,0.57584
3440,0.57862
3450,0.5817
3460,0.58416
3470,0.58678
3480,0.58914
3490,0.59212
3500,0.5948
3510,0.59774
3520,0.60056
3530,0.60348
3540,0.60614
3550,0.60898
3560,0.61162
3570,0.6143
3580,0.61668
3590,0.6193
3600,0.62204
3610,0.62454
3620,0.627
3630,0.6298
3640,0.6325
3650,0.63514
3660,0.63774
3670,0.64034
3680,0.64322
3690,0.64596
3700,0.64838
3710,0.6511
3720,0.65442
3730,0.65686
3740,0.65956
3750,0.66218
3760,0.66466
3770,0.66684
3780,0.66904
3790,0.6711
3800,0.67316
3810,0.67536
3820,0.67782
3830,0.67996
3840,0.68228
3850,0.68446
3860,0.68682
3870,0.68892
3880,0.69146
3890,0.69402
3900,0.69632
3910,0.6985
3920,0.7006
3930,0.70294
3940,0.7055
3950,0.70758
3960,0.71008
3970,0.71178
3980,0.71426
3990,0.7164
4000,0.71858
4010,0.72092
4020,0.72294
4030,0.72502
4040,0.72678
4050,0.72918
4060,0.7313
4070,0.73352
4080,0.73556
4090,0.73766
4100,0.73946
4110,0.741
4120,0.74288
4130,0.74486
4140,0.74658
4150,0.74938
4160,0.75142
4170,0.75336
4180,0.75556
4190,0.75752
4200,0.75958
4210,0.76182
4220,0.7636
4230,0.76536
4240,0.7675
4250,0.76968
4260,0.77184
4270,0.77378
4280,0.77572
4290,0.77808
4300,0.77986
4310,0.7816
4320,0.7834
4330,0.78532
4340,0.7872
4350,0.7888
4360,0.79072
4370,0.79284
4380,0.79482
4390,0.7965
4400,0.79812
4410,0.79964
4420,0.80114
4430,0.80284
4440,0.80424
4450,0.8063
4460,0.8077
4470,0.80922
4480,0.81074
4490,0.81254
4500,0.81416
4510,0.81584
4520,0.81752
4530,0.81904
4540,0.82036
4550,0.82184
4560,0.82326
4570,0.8249
4580,0.82624
4590,0.82764
4600,0.82934
4610,0.83086
4620,0.83238
4630,0.83386
4640,0.8353
4650,0.8369
4660,0.83812
4670,0.8396
4680,0.84078
4690,0.84224
4700,0.84372
4710,0.84538
4720,0.84686
4730,0.84832
4740,0.84964
4750,0.85068
4760,0.85174
4770,0.85314
4780,0.85458
4790,0.85592
4800,0.8571
4810,0.85838
4820,0.85952
4830,0.86042
4840,0.86164
4850,0.863
4860,0.86452
4870,0.86592
4880,0.86714
4890,0.8683
4900,0.86972
4910,0.87108
4920,0.87218
4930,0.87336
4940,0.87458
4950,0.87582
4960,0.87682
4970,0.87806
4980,0.87914
4990,0.88042
5000,0.88138
5010,0.88244
5020,0.8833
5030,0.8845
5040,0.88536
5050,0.88654
5060,0.88762
5070,0.88872
5080,0.88984
5090,0.89078
5100,0.89184
5110,0.89302
5120,0.89392
5130,0.89462
5140,0.89568
5150,0.89674
5160,0.89748
5170,0.89846
5180,0.89962
5190,0.90072
5200,0.9016
5210,0.9026
5220,0.90334
5230,0.90404
5240,0.90496
5250,0.90586
5260,0.9069
5270,0.90754
5280,0.9085
5290,0.9094
5300,0.91042
5310,0.91152
5320,0.91258
5330,0.9136
5340,0.91434
5350,0.91516
5360,0.91626
5370,0.91716
5380,0.91814
5390,0.91902
5400,0.91988
5410,0.9208
5420,0.9216
5430,0.92242
5440,0.92296
5450,0.9236
5460,0.92448
5470,0.92528
5480,0.92598
5490,0.92662
5500,0.92774
5510,0.92828
5520,0.92884
5530,0.9294
5540,0.93002
5550,0.93072
5560,0.93174
5570,0.93238
5580,0.9332
5590,0.93376
5600,0.93434
5610,0.93508
5620,0.936
5630,0.93678
5640,0.93734
5650,0.93782
5660,0.93836
5670,0.9392
5680,0.93978
5690,0.94032
5700,0.94106
5710,0.94162
5720,0.94216
5730,0.9429
5740,0.94362
5750,0.94414
5760,0.94492
5770,0.94554
5780,0.94604
5790,0.94662
5800,0.9472
5810,0.94788
5820,0.94836
5830,0.94888
5840,0.94952
5850,0.94996
5860,0.95042
5870,0.95102
5880,0.95158
5890,0.952
5900,0.95246
5910,0.95296
5920,0.95342
5930,0.95382
5940,0.95436
5950,0.95494
5960,0.95558
5970,0.95616
5980,0.9566
5990,0.95714
6000,0.95744
6010,0.95806
6020,0.95858
6030,0.95912
6040,0.95948
