x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.001
600,0.001
700,0.001
800,0.002
900,0.005
1000,0.009
1100,0.016
1200,0.023
1300,0.032
1400,0.041
1500,0.047
1600,0.06
1700,0.072
1800,0.086
1900,0.099
2000,0.128
2100,0.152
2200,0.179
2300,0.2
2400,0.234
2500,0.275
2600,0.31
2700,0.348
2800,0.376
2900,0.415
3000,0.452
3100,0.48
3200,0.507
3300,0.531
3400,0.575
3500,0.603
3600,0.635
3700,0.668
3800,0.689
3900,0.709
4000,0.733
4100,0.746
4200,0.768
4300,0.786
4400,0.802
4500,0.817
4600,0.828
4700,0.844
4800,0.859
4900,0.869
5000,0.879
5100,0.891
5200,0.9
5300,0.91
5400,0.922
5500,0.929
5600,0.933
5700,0.938
5800,0.942
5900,0.946
6000,0.952
6100,0.956
6200,0.962
6300,0.966
6400,0.971
6500,0.975
6600,0.977
6700,0.979
6800,0.979
6900,0.982
7000,0.984
7100,0.986
7200,0.987
7300,0.99
7400,0.991
7500,0.992
7600,0.994
7700,0.994
7800,0.995
7900,0.995
8000,0.996
