Bench/IPC            riscv64      x86          aarch64     
---------            --------     --------     --------    
x264_r               2.207117     1.738768     2.280345    
gcc_r                1.051680     0.747256     0.929258    
wrf_r                0.187289     0.249274     0.168669    
imagick_r            1.215284     0.995280     1.156217    
nab_r                0.923231     0.908430     0.988972    
blender_r            0.898252     0.668620     0.830555    
exchange2_r          0.958758     1.089879     1.086341    
cam4_r               0.894184     0.430778     0.726586    
omnetpp_r            0.988715     0.836534     0.972114    
mcf_r                0.839439     0.794336     0.845460    
parest_r             0.987286     0.775926     0.856220    
bwaves_r             0.398539     0.029994     0.067694    
roms_r               1.175347     0.940729     0.988619    
cactuBSSN_r          1.205575     0.922613     0.909398    
leela_r              1.082160     0.824841     1.076645    
lbm_r                0.150311     0.051032     0.096787    
fotonik3d_r          0.937348     0.754869     0.807208    
deepsjeng_r          0.181639     0.043063     0.250964    
xz_r                 0.236174     0.098930     0.229465    
xalancbmk_r          0.907254     0.668139     0.712128    
povray_r             1.211670     0.968924     0.966250    
namd_r               1.048750     1.168957     0.994488    
perlbench_r          0.783707     0.555516     0.632213    
avg.                 0.889983     0.707070     0.807504    
