x,y
0,0.0
100,0.019
200,0.029
300,0.04
400,0.05
500,0.062
600,0.073
700,0.092
800,0.115
900,0.129
1000,0.142
1100,0.163
1200,0.172
1300,0.179
1400,0.188
1500,0.205
1600,0.217
1700,0.231
1800,0.244
1900,0.258
2000,0.274
2100,0.284
2200,0.293
2300,0.308
2400,0.315
2500,0.324
2600,0.334
2700,0.346
2800,0.357
2900,0.365
3000,0.37
3100,0.379
3200,0.388
3300,0.396
3400,0.403
3500,0.413
3600,0.423
3700,0.434
3800,0.445
3900,0.453
4000,0.462
4100,0.47
4200,0.48
4300,0.486
4400,0.496
4500,0.5
4600,0.504
4700,0.509
4800,0.518
4900,0.522
5000,0.526
5100,0.534
5200,0.543
5300,0.552
5400,0.559
5500,0.567
5600,0.57
5700,0.579
5800,0.579
5900,0.585
6000,0.592
6100,0.601
6200,0.607
6300,0.612
6400,0.618
6500,0.627
6600,0.629
6700,0.644
6800,0.648
6900,0.649
7000,0.652
7100,0.659
7200,0.665
7300,0.673
7400,0.676
7500,0.681
7600,0.691
7700,0.698
7800,0.703
7900,0.71
8000,0.715
8100,0.72
8200,0.724
8300,0.728
8400,0.733
8500,0.736
8600,0.74
8700,0.744
8800,0.748
8900,0.75
9000,0.752
9100,0.755
9200,0.761
9300,0.765
9400,0.771
9500,0.776
9600,0.783
9700,0.785
9800,0.792
9900,0.793
10000,0.796
10100,0.798
10200,0.798
10300,0.798
10400,0.8
10500,0.801
10600,0.803
10700,0.808
10800,0.813
10900,0.818
11000,0.821
11100,0.828
11200,0.831
11300,0.836
11400,0.84
11500,0.844
11600,0.845
11700,0.849
11800,0.853
11900,0.856
12000,0.858
12100,0.861
12200,0.862
12300,0.864
12400,0.866
12500,0.868
12600,0.872
12700,0.875
12800,0.878
12900,0.878
13000,0.88
13100,0.881
13200,0.884
13300,0.887
13400,0.888
13500,0.889
13600,0.891
13700,0.891
13800,0.893
13900,0.896
14000,0.897
14100,0.899
14200,0.9
14300,0.902
14400,0.902
14500,0.903
14600,0.903
14700,0.903
14800,0.906
14900,0.91
15000,0.911
