x,y
0,0.0
100,0.012
200,0.028
300,0.042
400,0.056
500,0.067
600,0.082
700,0.097
800,0.113
900,0.131
1000,0.145
1100,0.16
1200,0.171
1300,0.184
1400,0.197
1500,0.207
1600,0.22
1700,0.228
1800,0.234
1900,0.247
2000,0.265
2100,0.283
2200,0.293
2300,0.313
2400,0.321
2500,0.329
2600,0.335
2700,0.349
2800,0.357
2900,0.365
3000,0.377
3100,0.386
3200,0.396
3300,0.405
3400,0.411
3500,0.417
3600,0.425
3700,0.432
3800,0.442
3900,0.456
4000,0.464
4100,0.471
4200,0.476
4300,0.478
4400,0.486
4500,0.495
4600,0.503
4700,0.509
4800,0.511
4900,0.52
5000,0.532
5100,0.539
5200,0.547
5300,0.556
5400,0.565
5500,0.573
5600,0.578
5700,0.583
5800,0.591
5900,0.598
6000,0.61
6100,0.615
6200,0.623
6300,0.627
6400,0.631
6500,0.636
6600,0.642
6700,0.644
6800,0.649
6900,0.656
7000,0.661
7100,0.665
7200,0.667
7300,0.672
7400,0.678
7500,0.688
7600,0.694
7700,0.697
7800,0.701
7900,0.707
8000,0.711
8100,0.715
8200,0.722
8300,0.73
8400,0.732
8500,0.736
8600,0.746
8700,0.752
8800,0.754
8900,0.758
9000,0.761
9100,0.765
9200,0.767
9300,0.77
9400,0.775
9500,0.777
9600,0.78
9700,0.783
9800,0.789
9900,0.793
10000,0.793
10100,0.795
10200,0.799
10300,0.804
10400,0.813
10500,0.815
10600,0.82
10700,0.825
10800,0.828
10900,0.832
11000,0.833
11100,0.835
11200,0.84
11300,0.84
11400,0.842
11500,0.844
11600,0.844
11700,0.847
11800,0.851
11900,0.854
12000,0.858
12100,0.859
12200,0.861
12300,0.864
12400,0.866
12500,0.868
12600,0.868
12700,0.872
12800,0.875
12900,0.876
13000,0.879
13100,0.883
13200,0.886
13300,0.887
13400,0.888
13500,0.889
13600,0.89
13700,0.891
13800,0.892
13900,0.893
14000,0.895
14100,0.896
14200,0.898
14300,0.898
14400,0.899
14500,0.899
14600,0.901
14700,0.902
14800,0.902
14900,0.904
15000,0.906
