x,y
0,0.0
100,0.021
200,0.039
300,0.058
400,0.075
500,0.089
600,0.106
700,0.12
800,0.132
900,0.145
1000,0.161
1100,0.168
1200,0.179
1300,0.19
1400,0.206
1500,0.215
1600,0.229
1700,0.241
1800,0.255
1900,0.269
2000,0.274
2100,0.289
2200,0.302
2300,0.314
2400,0.328
2500,0.337
2600,0.352
2700,0.361
2800,0.372
2900,0.38
3000,0.389
3100,0.4
3200,0.413
3300,0.42
3400,0.426
3500,0.432
3600,0.444
3700,0.451
3800,0.459
3900,0.468
4000,0.479
4100,0.489
4200,0.5
4300,0.509
4400,0.522
4500,0.525
4600,0.532
4700,0.543
4800,0.556
4900,0.566
5000,0.568
5100,0.573
5200,0.582
5300,0.589
5400,0.597
5500,0.601
5600,0.606
5700,0.619
5800,0.622
5900,0.631
6000,0.632
6100,0.637
6200,0.64
6300,0.644
6400,0.649
6500,0.654
6600,0.662
6700,0.667
6800,0.677
6900,0.683
7000,0.693
7100,0.695
7200,0.699
7300,0.703
7400,0.712
7500,0.719
7600,0.722
7700,0.727
7800,0.734
7900,0.737
8000,0.741
8100,0.744
8200,0.75
8300,0.754
8400,0.754
8500,0.757
8600,0.758
8700,0.761
8800,0.763
8900,0.764
9000,0.769
9100,0.771
9200,0.776
9300,0.781
9400,0.784
9500,0.785
9600,0.786
9700,0.792
9800,0.793
9900,0.797
10000,0.799
10100,0.803
10200,0.805
10300,0.807
10400,0.807
10500,0.809
10600,0.815
10700,0.818
10800,0.822
10900,0.825
11000,0.828
11100,0.829
11200,0.832
11300,0.838
11400,0.841
11500,0.844
11600,0.846
11700,0.848
11800,0.851
11900,0.851
12000,0.852
12100,0.858
12200,0.859
12300,0.86
12400,0.862
12500,0.863
12600,0.868
12700,0.87
12800,0.874
12900,0.875
13000,0.876
13100,0.876
13200,0.879
13300,0.881
13400,0.883
13500,0.885
13600,0.888
13700,0.89
13800,0.891
13900,0.892
14000,0.892
14100,0.892
14200,0.893
14300,0.896
14400,0.898
14500,0.9
14600,0.901
14700,0.902
14800,0.902
14900,0.905
15000,0.907
