x,y
0,0.0
100,0.032
200,0.051
300,0.073
400,0.104
500,0.129
600,0.154
700,0.176
800,0.21
900,0.234
1000,0.265
1100,0.29
1200,0.307
1300,0.327
1400,0.348
1500,0.37
1600,0.392
1700,0.42
1800,0.428
1900,0.444
2000,0.464
2100,0.478
2200,0.497
2300,0.506
2400,0.521
2500,0.531
2600,0.539
2700,0.554
2800,0.564
2900,0.581
3000,0.595
3100,0.604
3200,0.617
3300,0.625
3400,0.636
3500,0.648
3600,0.66
3700,0.672
3800,0.686
3900,0.697
4000,0.704
4100,0.716
4200,0.723
4300,0.728
4400,0.736
4500,0.742
4600,0.747
4700,0.753
4800,0.763
4900,0.77
5000,0.776
5100,0.783
5200,0.791
5300,0.797
5400,0.8
5500,0.803
5600,0.81
5700,0.816
5800,0.818
5900,0.826
6000,0.833
6100,0.843
6200,0.847
6300,0.849
6400,0.854
6500,0.858
6600,0.862
6700,0.866
6800,0.866
6900,0.867
7000,0.869
7100,0.875
7200,0.877
7300,0.883
7400,0.891
7500,0.894
7600,0.899
7700,0.901
7800,0.904
7900,0.906
8000,0.907
