x,y
0,0.0
100,0.008
200,0.021
300,0.027
400,0.035
500,0.043
600,0.049
700,0.061
800,0.07
900,0.081
1000,0.088
1100,0.092
1200,0.098
1300,0.102
1400,0.106
1500,0.113
1600,0.121
1700,0.128
1800,0.132
1900,0.139
2000,0.145
2100,0.151
2200,0.16
2300,0.164
2400,0.169
2500,0.174
2600,0.179
2700,0.185
2800,0.191
2900,0.198
3000,0.207
3100,0.215
3200,0.221
3300,0.226
3400,0.23
3500,0.234
3600,0.241
3700,0.247
3800,0.251
3900,0.253
4000,0.262
4100,0.267
4200,0.276
4300,0.281
4400,0.287
4500,0.289
4600,0.292
4700,0.3
4800,0.301
4900,0.307
5000,0.312
5100,0.325
5200,0.331
5300,0.336
5400,0.339
5500,0.34
5600,0.347
5700,0.353
5800,0.362
5900,0.364
6000,0.367
6100,0.373
6200,0.376
6300,0.38
6400,0.385
6500,0.392
6600,0.4
6700,0.406
6800,0.41
6900,0.419
7000,0.422
7100,0.426
7200,0.43
7300,0.437
7400,0.443
7500,0.446
7600,0.451
7700,0.457
7800,0.459
7900,0.464
8000,0.467
8100,0.47
8200,0.473
8300,0.478
8400,0.481
8500,0.484
8600,0.485
8700,0.486
8800,0.493
8900,0.496
9000,0.498
9100,0.503
9200,0.507
9300,0.51
9400,0.511
9500,0.515
9600,0.519
9700,0.523
9800,0.527
9900,0.529
10000,0.532
10100,0.534
10200,0.535
10300,0.54
10400,0.546
10500,0.548
10600,0.556
10700,0.557
10800,0.561
10900,0.567
11000,0.57
11100,0.571
11200,0.573
11300,0.577
11400,0.581
11500,0.583
11600,0.587
11700,0.59
11800,0.594
11900,0.596
12000,0.598
12100,0.601
12200,0.601
12300,0.603
12400,0.608
12500,0.611
12600,0.614
12700,0.617
12800,0.62
12900,0.62
13000,0.627
13100,0.631
13200,0.633
13300,0.635
13400,0.64
13500,0.641
13600,0.642
13700,0.642
13800,0.644
13900,0.644
14000,0.645
14100,0.646
14200,0.649
14300,0.65
14400,0.652
14500,0.652
14600,0.656
14700,0.657
14800,0.659
14900,0.661
15000,0.663
15100,0.666
15200,0.67
15300,0.672
15400,0.674
15500,0.676
15600,0.68
15700,0.684
15800,0.686
15900,0.688
16000,0.689
