x,y
0,0.0
100,0.002
200,0.01
300,0.016
400,0.022
500,0.03
600,0.037
700,0.046
800,0.054
900,0.062
1000,0.072
1100,0.079
1200,0.088
1300,0.1
1400,0.108
1500,0.116
1600,0.126
1700,0.132
1800,0.139
1900,0.151
2000,0.158
2100,0.165
2200,0.169
2300,0.18
2400,0.186
2500,0.189
2600,0.194
2700,0.198
2800,0.202
2900,0.205
3000,0.211
3100,0.216
3200,0.224
3300,0.229
3400,0.233
3500,0.235
3600,0.239
3700,0.247
3800,0.249
3900,0.255
4000,0.261
4100,0.27
4200,0.28
4300,0.286
4400,0.291
4500,0.302
4600,0.314
4700,0.322
4800,0.334
4900,0.346
5000,0.349
5100,0.355
5200,0.359
5300,0.365
5400,0.373
5500,0.376
5600,0.379
5700,0.384
5800,0.384
5900,0.39
6000,0.396
6100,0.401
6200,0.405
6300,0.407
6400,0.41
6500,0.411
6600,0.413
6700,0.418
6800,0.424
6900,0.429
7000,0.435
7100,0.437
7200,0.44
7300,0.441
7400,0.445
7500,0.449
7600,0.456
7700,0.46
7800,0.462
7900,0.465
8000,0.47
8100,0.474
8200,0.479
8300,0.482
8400,0.488
8500,0.494
8600,0.496
8700,0.498
8800,0.5
8900,0.501
9000,0.509
9100,0.514
9200,0.519
9300,0.522
9400,0.527
9500,0.534
9600,0.536
9700,0.542
9800,0.544
9900,0.55
10000,0.553
10100,0.557
10200,0.559
10300,0.56
10400,0.562
10500,0.565
10600,0.569
10700,0.572
10800,0.574
10900,0.577
11000,0.579
11100,0.584
11200,0.59
11300,0.592
11400,0.596
11500,0.601
11600,0.605
11700,0.609
11800,0.613
11900,0.616
12000,0.619
12100,0.622
12200,0.624
12300,0.627
12400,0.628
12500,0.629
12600,0.63
12700,0.632
12800,0.634
12900,0.635
13000,0.64
13100,0.644
13200,0.648
13300,0.654
13400,0.657
13500,0.659
13600,0.661
13700,0.664
13800,0.667
13900,0.67
14000,0.672
14100,0.673
14200,0.677
14300,0.679
14400,0.68
14500,0.684
14600,0.688
14700,0.69
14800,0.692
14900,0.694
15000,0.696
15100,0.701
15200,0.705
15300,0.707
15400,0.709
15500,0.714
15600,0.717
15700,0.718
15800,0.72
15900,0.724
16000,0.725
