x,y
0,0.0
100,0.008
200,0.015
300,0.023
400,0.03
500,0.033
600,0.04
700,0.049
800,0.053
900,0.059
1000,0.066
1100,0.07
1200,0.077
1300,0.088
1400,0.09
1500,0.095
1600,0.1
1700,0.103
1800,0.109
1900,0.111
2000,0.118
2100,0.127
2200,0.128
2300,0.136
2400,0.143
2500,0.147
2600,0.151
2700,0.159
2800,0.165
2900,0.172
3000,0.177
3100,0.18
3200,0.19
3300,0.198
3400,0.202
3500,0.21
3600,0.218
3700,0.221
3800,0.23
3900,0.239
4000,0.24
4100,0.244
4200,0.248
4300,0.25
4400,0.257
4500,0.26
4600,0.271
4700,0.277
4800,0.28
4900,0.288
5000,0.297
5100,0.304
5200,0.313
5300,0.321
5400,0.329
5500,0.332
5600,0.344
5700,0.347
5800,0.352
5900,0.357
6000,0.361
6100,0.366
6200,0.373
6300,0.375
6400,0.383
6500,0.386
6600,0.391
6700,0.396
6800,0.401
6900,0.405
7000,0.41
7100,0.415
7200,0.42
7300,0.422
7400,0.425
7500,0.425
7600,0.429
7700,0.436
7800,0.438
7900,0.44
8000,0.446
8100,0.454
8200,0.458
8300,0.463
8400,0.465
8500,0.468
8600,0.469
8700,0.472
8800,0.475
8900,0.481
9000,0.483
9100,0.492
9200,0.497
9300,0.503
9400,0.503
9500,0.506
9600,0.512
9700,0.513
9800,0.518
9900,0.522
10000,0.527
10100,0.531
10200,0.535
10300,0.54
10400,0.544
10500,0.55
10600,0.555
10700,0.557
10800,0.563
10900,0.565
11000,0.569
11100,0.57
11200,0.572
11300,0.575
11400,0.581
11500,0.581
11600,0.586
11700,0.588
11800,0.592
11900,0.598
12000,0.602
12100,0.604
12200,0.606
12300,0.609
12400,0.61
12500,0.614
12600,0.62
12700,0.621
12800,0.625
12900,0.626
13000,0.629
13100,0.634
13200,0.638
13300,0.642
13400,0.645
13500,0.65
13600,0.653
13700,0.656
13800,0.659
13900,0.663
14000,0.666
14100,0.667
14200,0.669
14300,0.674
14400,0.674
14500,0.677
14600,0.68
14700,0.685
14800,0.692
14900,0.693
15000,0.695
15100,0.696
15200,0.699
15300,0.701
15400,0.704
15500,0.707
15600,0.71
15700,0.713
15800,0.716
15900,0.718
16000,0.719
