x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.001
700,0.006
800,0.006
900,0.011
1000,0.017
1100,0.025
1200,0.031
1300,0.042
1400,0.054
1500,0.074
1600,0.092
1700,0.111
1800,0.133
1900,0.164
2000,0.19
2100,0.216
2200,0.249
2300,0.282
2400,0.314
2500,0.349
2600,0.378
2700,0.413
2800,0.445
2900,0.473
3000,0.505
3100,0.538
3200,0.566
3300,0.591
3400,0.625
3500,0.652
3600,0.684
3700,0.71
3800,0.735
3900,0.764
4000,0.785
4100,0.796
4200,0.816
4300,0.835
4400,0.846
4500,0.862
4600,0.885
4700,0.893
4800,0.904
4900,0.914
5000,0.924
5100,0.934
5200,0.942
5300,0.95
5400,0.957
5500,0.961
5600,0.964
5700,0.969
5800,0.974
5900,0.978
6000,0.982
6100,0.985
6200,0.987
6300,0.989
6400,0.991
6500,0.992
6600,0.992
6700,0.992
6800,0.994
6900,0.994
7000,0.994
7100,0.994
7200,0.996
7300,0.996
7400,0.997
7500,0.997
7600,0.997
7700,0.997
7800,0.999
7900,0.999
8000,0.999
